Spec#,Date coll,Jar #,Tag # individ,M/F,mm,BD,MC(L),MC(S),ACANTH,Coordinates,,
CT_097,28-May-2019,Cray2019_344,Trog_0227,M,30,20,,,,"Cray2019_344: 33.24488N, -79.520632W",,
CT_098,28-May-2019,Cray2019_344,Trog_0226,F,23.1,,,,,"Cray2019_344: 33.24488N, -79.520632W",,
CT_099,28-May-2019,Cray2019_334,Trog_0225,F,24.2,,,,,"Cray2019_344: 33.24488N, -79.520632W",,
CT_100,25-May-2019,Cray2019_345,Trog_0330,F,25.8,,,,,"Cray2019_345: 33.194481N, -79.607289W",,
CT_101,25-May-2019,Cray2019_345,Trog_0329,M,25.6,,,,,"Cray2019_345: 33.194481N, -79.607289W",,
CT_102,25-May-2019,Cray2019_345,Trog_0328,F,24.4,,,,,"Cray2019_345: 33.194481N, -79.607289W",,
CT_103,12-April-2019,Cray2019_240,Trog_0290,M,23.2,,,,,"Cray2019_240: 32.725244N, -79.941578W",,
CT_104,4-May-2019,Cray2019_224,Trog_0264,F,29.6,,,,,"Cray2019_224: 33.758077N, -80.058478",,
CT_105,4-May-2019,Cray2019_224,Trog_0269,M,28.4,,,,,"Cray2019_224: 33.758077N, -80.058478",,
CT_106,4-May-2019,Cray2019_224,Trog_0265,F,25.6,,,,,"Cray2019_224: 33.758077N, -80.058478",,
CT_107,4-May-2019,Cray2019_224,Trog_0271,F,24.8,,,,,"Cray2019_224: 33.758077N, -80.058478",,
CT_108,4-May-2019,Cray2019_224,Trog_0262,M,28.5,,,,,"Cray2019_224: 33.758077N, -80.058478",,
CT_109,4-May-2019,Cray2019_224,Trog_0261,F,32.2,,,,,"Cray2019_224: 33.758077N, -80.058478",,
CT_110,4-May-2019,Cray2019_224,Trog_0280,F,18.3,,,,,"Cray2019_224: 33.758077N, -80.058478",,
CT_111,4-May-2019,Cray2019_224,Trog_0277,F,19,,,,,"Cray2019_224: 33.758077N, -80.058478",,
CT_112,4-May-2019,Cray2019_224,Trog_0263,M,22.8,,,,,"Cray2019_224: 33.758077N, -80.058478",,
CT_113,4-May-2019,Cray2019_224,Trog_0267,F,25.6,,,,,"Cray2019_224: 33.758077N, -80.058478",,
CT_114,4-May-2019,Cray2019_224,Trog_0266,F,23.5,,,,,"Cray2019_224: 33.758077N, -80.058478",,
CT_115,4-May-2019,Cray2019_224,Trog_0286,F,18.7,,,,,"Cray2019_224: 33.758077N, -80.058478",,
CT_116,31-Oct-2019,Cray2019_535,Trog_0313,M,20,,,,,"Cray2019_535: 32.89754N, -79.81300W",,
CT_117,5-Dec-2019,Cray2019_555,307,M,28.1,,,,,"Cray2019_555: 32.7227N, -79.9682W",,
CT_118,5-Dec-2019,Cray2019_555,309,F,31.1,,,,,"Cray2019_555: 32.7227N, -79.9682W",,
CT_119,5-Dec-2019,Cray2019_555,308,M,25.7,,,,,"Cray2019_555: 32.7227N, -79.9682W",,
CT_120,5-Dec-2019,Cray2019_555,306,F,30.6,,,8,,"Cray2019_555: 32.7227N, -79.9682W",,
CT_121,28-Aug-2019,Cray2019_378,Trog_0260,M,24.4,,,10,,Cray2019_378: 32.72256N -79.97005W,,
